family,scientificNameWithoutAuthorship,scientificNameAuthorship,assessment,category,criteria,assessor,evaluator,rationale
POLYGALACEAE,"Asemeia marquesiana","(J.F.B.Pastore & T.B.Cavalc.) J.F.B.Pastore & J.R.Abbott",comments,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",Raquel,"Tainan Messina","Ervas decíduas, com distribuição restrita à Chapada dos Veadeiros, no estado de Goiás (Pastore & Cavalcanti, 2008; Pastore et al., 2013). A espécie apresenta EOO de 886 km², AOO de 16 km² e está sujeita a três situações de ameaça, nos municípios de Cavalcante, Alto Paraíso de Goiás e no Parque Nacional na Chapada dos Veadeiros. São ameaças a atividade agrícola, a formação de pastagens (Souza & Felfili, 2006), a invasão de gramíneas exóticas como capim gordura (Melinis minutiflora) e braquiária (Urochloa decumbens) (Ziller, 2001), que implicam declínio continuo da EOO, AOO, qualidade do hábitat e de subpopulações. São necessários investimentos em planejamento de ações para conservação da espécie, bem como o monitoramento e controle das ameaças incidentes."
POLYGALACEAE,"Asemeia pohliana","(A.St.-Hil.  Moq.)  J.F.B.Pastore & J.R.Abbott",comments,CR,"B2ab(i,ii,iii)",Raquel,"Tainan Messina","Ervas com ocorrência no estado de Minas Gerais, no município de São Roque de Minas, e restritas aos Campos Limpos da Serra da Canastra (Pastore et al., 2013). A espécie apresenta AOO de 8 km² e está sujeita a apenas uma situação de ameaça, no Parque Nacional da Serra da Canastra (CNCFlora, 2013). O aumento da frequência de incêndios na região de ocorrência da espécie (Medeiros & Fiedler, 2004) é uma ameaça que implica declínio contínuo da EOO, AOO e qualidade do hábitat. Considerando a recente revisão taxonômica e os poucos registros de ocorrência apresentados, são necessários maiores esforços de coleta e investimentos em pesquisa e em planos de ação necessários a conservação da espécie."
POLYGALACEAE,"Polygala apparicioi",Brade,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)",Raquel,"Tainan Messina","Espécie endêmica do Brasil, tem ocorrência exclusiva no estado de Minas Gerais (Pastore et al., 2013), nas regiões da Serra do Cipó e Serra da Canastra (CNCFlora, 2013). Ervas, encontradas frequentemente em Campos Rupestres e Campos Limpos associados ao domínio Cerrado, em hábitats com maior disponibilidade hídrica e umidade (Marques 1988). Apresenta EOO de 3.983 km², AOO de 24 km² e está sujeita a três situações de ameaça considerando suas localidades de ocorrência. São ameaças a espécie o aumento da frequência de incêndios (Medeiros & Fiedler 2004; Ribeiro et al., 2005) e a dominância de espécies invasoras (e.g. Urochloa decumbens e U. brizantha) que apresentam rápido crescimento, alelopatia e são amplamente empregadas na formação de pastagens (Ribeiro et al., 2005). As ameaças incidentes implicam em declínio contínuo de EOO, AOO e qualidade do hábitat. A espécie ocorre dentro dos limites de duas Unidades de Conservação, sendo elas o Parque Nacional da Serra do Cipó e Parque Nacional da Serra da Canastra (CNCFlora, 2013)."
POLYGALACEAE,"Polygala asperuloides",Kunth,comments,LC,,Raquel,"Tainan Messina","Espécie de ampla distribuição (EOO=2.188.614 km²), com ocorrência em todas as regiões brasileiras, nos estados do Pará, Roraima, Bahia, Goiás, Mato Grosso do Sul, Mato Grosso, Minas Gerais e Rio Grande do Sul (Pastore et al., 2013). Erva com plasticidade ambiental, ocorre nos biomas Amazônia e Cerrado (Marques, 1988; Pastore et al., 2013) em Campos Limpos, Campos Sujos, em margens de córregos e rios, em ambientes pouco ou bastante alterados, inclusive considerada invasora em algumas áreas após passagem de fogo (CNCFlora, 2013). Apesar da ampla distribuição, não há registro da espécie em Unidades de Conservação."
POLYGALACEAE,"Polygala bevilacquai",Marques,comments,CR,"B2ab(i,ii,iii)",Raquel,"Tainan Messina","Planta herbácea, endêmicas do estado de São Paulo e restrita a Campos Úmidos associados ao domínio Cerrado (Marques, 2003; Pastore et al., 2013). Apresenta EOO de 439 km², AOO de 8 km² e está sujeita a apenas uma situação de ameaça considerando sua ocorrência restrita ao município de Itirapina. Ameaçada por declínio contínuo de EOO, AOO e qualidade do hábitat decorrente do desenvolvimento de atividades agrícolas como produção de cana-de açúcar, laranja, silvicultura de Pinus e Eucalipto (Nora et al., 2009). Também são ameaças a invasão de gramíneas exóticas, como Melinis minutiflora e Urochloa decumbens e o aumento da frequência de incêndios (Pivello 2011). De acordo com a localização geográfica, é provável que a espécie ocorra na área da Estação Ecológica de Itirapina e/ou entorno. Assim, são necessários investimentos para a busca de novos registros nos hábitats potenciais da espécie na região, o desenvolvimento de ações de conservação, bem como o monitoramento e manejo das ameaças incidentes.
"
POLYGALACEAE,"Polygala grazielae",Marques,comments,CR,"B2ab(i,ii,iii)",Raquel,"Tainan Messina","Espécie endêmica do Brasil, com ocorrência exclusiva no estado de Mato Grosso do Sul (Pastore et al., 2013), no município de Rio Verde. Subarbustos encontrados em Campos Limpos sobre solos arenosos e afloramentos rochosos, associados ao domínio Cerrado (Marques, 1984; Pastore et al., 2013). Apresenta AOO estimado em 8 km² e está sujeita a apenas uma situação de ameaça. A expansão da fronteira agrícola no estado é uma ameaça a espécie, implicando em declínio contínuo de EOO, AOO e qualidade do hábitat. Não há registro de ocorrência deste táxon dentro dos limites de Unidade de Conservação. Apesar de vistosa e de fácil identificação em campo são desconhecidos novos registros da espécie na área. Portanto, são necessários investimentos em novos esforços de coleta, bem como em ações necessárias a sua conservação."
POLYGALACEAE,"Polygala irwinii",Wurdack,comments,NT,,Raquel,"Tainan Messina","Espécie não endêmica do Brasil, com ocorrência na Bolívia e nas regiões brasileiras Norte e Centro-oeste, nos estados de Rondônia, Mato Grosso e Mato Grosso do Sul (Pastore et al., 2013). Planta herbácea, ocorre em Campos Limpos, em áreas de transição entre Cerrado ""sensu stricto"" e Cerradão, nos domínios Amazônia e Cerrado, e  em áreas alteradas (Wurdack, 1974; Pastore et al., 2013). Apresenta EOO de 433.056 km² e está sujeita a mais de 10 situações de ameaça. Apesar de sua grande EOO, não há registro da espécie em Unidade de Conservação, sendo preciso atenção ao alto grau de ameaça a que estão sujeitos os ecossistemas que fazem parte da área de distribuição da espécie, devido a expansão da fronteira agrícola e desmatamento."
POLYGALACEAE,"Polygala juncea",A.St.-Hil.,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)",Raquel,"Tainan Messina","Espécie endêmica do Brasil, com ocorrência exclusiva no estado de Minas Gerais (Pastore et al., 2013) e distribuição restrita à região da Serra da Canastra (CNCFlora, 2013). Erva associada a formações campestres do bioma Cerrado, típica em Campos Limpos e Campos Sujos, usualmente, sobre solos pedregosos (Marques, 1988; Pastore et al., 2013). Apresenta EOO de 826 km², AOO de 20 km² e está sujeita a duas situações de ameaças. O declínio contínuo de EOO, AOO e qualidade de hábitat estão relacionados ao aumento da frequência de incêndios apontado como uma ameaça a espécie (Medeiros & Fiedler, 2004), inclusive na área do Parque Nacional da Serra da Canastra, onde há registro da espécie (CNCFlora, 2013)."
POLYGALACEAE,"Polygala malmeana",Chodat,comments,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",Raquel,"Tainan Messina","Espécie endêmica do Brasil, com ocorrência exclusiva na Chapada dos Guimarães, no estado do Mato Grosso (Pastore com. Pess.). Ervas com ocorrência em formações campestres, como Campos Secos, Campos Úmidos, Campo Limpo ou Campos Rupestres, associadas aos domínios do Cerrado e da Amazônia (Marques, 1988). Apresenta EOO de 481 km²; AOO de 8 km² e está sujeita a duas situações de ameaça, na área do Parque Nacional da Chapada dos Guimarães (PNCG) e nas áreas de entorno. A ocupação humana pode ser considerada uma ameaça importante, devido à existência de diversas propriedades particulares e posses dentro do PNCG, cuja vegetação acaba sendo alterada devido ao uso direto da flora, pequenos desmatamentos e construções irregulares (MMA/ICMBio, 2009). Além disso, a presença de gado no interior do Parque pode causar impacto direto na vegetação, bem como o turismo desordenado, devido ao pisoteio excessivo e à abertura de novas trilhas e atalhos, sendo as Veredas, Campos Úmidos e Cerrados Rupestre as áreas mais fragilizadas (MMA/ICMBio, 2009). Também o impacto na flora do Parque de espécies invasoras como Pinus sp., Schinus therebenthifolius, Tithonia diversifolia, braquiária (Urochloa sp.), Melinis minutiflora, Syngonium angustatum e Leucaena leucocephala, não deve ser desprezado, tendo em vista os grandes danos causados por essas espécies em outras áreas naturais (MMA/ICMBio, 2009). As ameaças incidentes implicam em declínio contínuo de EOO, AOO e qualidade do hábitat. Assim, são necessários investimentos para o planejamento de ações para conservação da espécie, bem como em monitoramento e controle das ameaças na Unidade de Conservação e nos hábitats potenciais da espécie."
POLYGALACEAE,"Polygala patens","J.F.B.Pastore & Marques",comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)",Raquel,"Luiz Santos","Endêmica do Brasil, com ocorrência exclusiva no estado de Goiás, na região da Chapada dos Veadeiros, restrita ao município de Cavalcante (Pastore et al., 2013). Descrita recentemente no ano de 2009, com base nos registros de coletas que indicam a presença de apenas duas subpopulações separadas por aproximadamente 17 Km (Pastore & Marques 2009). Ervas, vistosas, e de fácil reconhecimento em campo, ocorre em Campos Rupestres sobre solos arenosos (Pastore & Marques, 2009; Pastore et al., 2013). Apresenta EOO de 521 km², AOO estimado em 8 km² e está sujeita a menos de cinco situação de ameaça de acordo com as localidades de ocorrência. A alta frequência de incêndios e a expansão das atividades agrícolas são ameaças (Lara et al., 2007) que implicam em declínio contínuo de EOO, AOO e qualidade de hábitat. Considerando as poucas subpopulações conhecidas e a ausência de registros em Unidade de Conservação, suspeita-se que a espécie possa atingir uma categoria de maior risco de extinção em futuro próximo, caso não sejam aplicadas efetivas ações de proteção à espécie e de controle das ameaças incidentes."
POLYGALACEAE,"Polygala pseudocoriacea",Chodat,comments,CR,"B2ab(i,ii,iii)",Raquel,"Tainan Messina","Endêmica do Brasil, a espécie apresenta ocorrência exclusiva ao estado do Tocantins (Serra da Natividade) (Pastore et al., 2013). Apesar de vistosa e de fácil reconhecimento em campo, é conhecida apenas pelo material-tipo (Marques, 1988). Caracteriza-se por subarbustos, encontrados em áreas savânicas associadas ao domínio Cerrado (Pastore et al., 2013). Apresenta AOO de 8 km² e está sujeita a uma situação de ameaça devido a sua restrita ocorrência. A espécie está ameaçada por agroindústria e expansão da pecuária (Dias, 1994), o que resulta em um declínio contínuo de EOO, AOO e qualidade do hábitat. Não há registro da espécie em áreas protegidas por Unidades de Conservação. Portanto, são necessários investimentos para a busca de novas subpopulações, bem como para o planejamento de ações necessárias a sua conservação."
POLYGALACEAE,"Polygala pseudoerica","A.St.-Hil. & Moq.",comments,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",Raquel,"Luiz Santos","Espécie endêmica do Brasil, com ocorrência exclusiva no estado de Minas Gerais, no Planalto da Diamantina (Pastore com. pess.). Subarbustos, cuja espécie e suas variedades, ocorrem nos Campos Rupestres e Campos Limpos associados ao domínio Cerrado (Marques, 1988). Apresenta EOO de 3.693 km², AOO de 52 km² e está sujeita a até cinco situações de ameaça, considerando as localidades de ocorrência. São ameaças a mineração e a expansão da agricultura, havendo altos índices de degradação ambiental no município de Diamantina em decorrência destas atividades (Fernandes et al., 2005). Estes fatores resultam em um declínio contínuo da EOO, AOO, qualidade do hábitat e subpopulações. Assim, são necessários investimentos para o planejamento de ações para a conservação da espécie e para monitoramento e controle das ameaças incidentes."
POLYGALACEAE,"Polygala suganumae","J.F.B.Pastore & Marques",comments,CR,"B2ab(i,ii,iii,iv)",Raquel,"Luiz Santos","Espécie endêmica do Brasil, com ocorrência exclusiva no estado de Goiás, na região da Chapada dos Veadeiros, município de Cavalcante (Pastore & Marques, 2009; Pastore et al., 2013). Ervas bianuais, ocorrem preferencialmente em Campos Limpos e Campos Rupestres associados ao domínio Cerrado, sendo encontrada em margens de trilhas e em solos arenosos (Pastore & Marques, 2009). Foi descrita recentemente, no ano de 2009, sendo conhecidas apenas duas subpopulações separadas por cerca de 21 km (Pastore & Marques, 2009). Apresenta AOO de 8 km² e está sujeita a apenas uma situação de ameaça, considerando o município de ocorrência. A agroindústria e o aumento da frequência de incêndios são ameaças (Lara et al., 2007) que implicam em declínio contínuo de EOO, AOO e qualidade do hábitat. As subpopulações conhecidas desta espécie não estão em áreas protegidas por Unidades de Conservação. Portanto, são necessários investimentos para o desenvolvimento de ações necessárias a conservação da espécie."
POLYGALACEAE,"Polygala trifurcata",Chodat,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)",Raquel,"Tainan Messina","Espécie endêmica do Brasil, ocorre exclusivamente no estado da Bahia (Pastore et al., 2013), na região do Parque Nacional da Chapada Diamantina (Marques, 1988). Subarbusto com ocorrência em Campos Rupestres, associados aos biomas do Cerrado e da Caatinga (Marques, 1988). Apresenta EOO de 875 km², AOO de 16 km² e está sujeita a três situações de ameaça considerando suas localidades de ocorrência. O aumento da frequência de incêndios relacionado às atividades econômicas como pecuária e turismo são ameaças (Spinola, 2005; Tanan & Chaves, 2012) que implicam em declínio da qualidade do hábitat. Assim, são necessários investimentos e esforços para monitoramento e controle das ameaças, bem como para desenvolvimento de ações necessárias a conservação da espécie na natureza."
POLYGALACEAE,"Polygala vollii",Brade,comments,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",Raquel,"Tainan Messina","Espécie endêmica do Brasil, com ocorrência exclusiva na Serra do Caparaó, em Minas Gerais (Pastore & Marques, 2009; Pastore et al., 2013). Ervas cespitosas típicas de áreas encharcadas dominadas por Sphagnum spp. em Campos de Altitude associados ao domínio Mata Atlântica (Pastore et al., 2013). Apresenta EOO de 112 km²; AOO de 20 km² e está sujeita a duas situações de ameaça, no Parque Nacional do Caparaó e no seu entorno (CNCFlora, 2013). São ameaças a espécie a expansão agrícola e extração de madeira, bem como atividades agropastoris na área de entorno da Unidade de Conservação (Oliveira, 2006). Considerando a especificidade de hábitat dessa espécie, os poucos remanescentes que ainda conservam esses ecossistemas e o intenso grau de ameaça a que estão suscetíveis, são necessários investimentos em pesquisa e em ações de conservação para a espécie e para os ecossistemas em questão."
POLYGALACEAE,"Securidaca acuminata","A.St.-Hil. & Moq.",comments,DD,,Raquel,"Luiz Santos","Espécie que apresenta necessidade de revisão taxonômica, endêmica do Brasil, com ocorrência exclusiva no estado de Minas Gerais, na região do município de Ouro Preto (Pastore com. pess.). Subarbustos escandentes, encontrados em ambientes florestais (CNCFlora, 2013) associados ao domínio Cerrado (Pastore et al., 2013).  Apresenta AOO de 4 km² e está sujeita a apenas uma situação de ameaça. Não há registro da espécie em área protegida. Portanto, são necessários investimentos em novos esforços de coleta a fim de se ampliar o conhecimento sobre o táxon e para avaliar seu atual estado de conservação na natureza. "
POLYGONACEAE,"Coccoloba cereifera",Schwacke,comments,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",Raquel,"Luiz Santos","A espécie caracteriza-se como arbustos pendentes, heliófilos de até 2 m de altura e de fácil reconhecimento em campo por apresentar folhas de coloração verde acinzentada, verde azulada e até verde vinácea (Melo, 2000; 2009). Endêmica do estado de Minas Gerais, ocorre na Serra do Caraça, no município de Catas Altas e, na Serra do Cipó, nos municípios de Santana do Riacho (Melo, 2009; 2013) e de Jaboticatubas (CNCFlora, 2013). É encontrada em Cerrado, em fitofisionomias de Campo Rupestre (Melo, 2000; 2009), Campo Limpo e em campo recém-queimado (CNCFlora, 2013). Apresenta EOO de 866 km², AOO de 28 km² e está sujeita a até cinco situações de ameaça considerando as localidades de ocorrência. A espécie está sujeita a ameaças na Serra do Cipó como está sujeita a ameaças como o domínio de espécies invasoras (e.g. Brachiaria decumbens e B. brizantha), que apresentam rápido crescimento, aumentando a frequência e intensidade de incêndios (Ribeiro et al., 2005), o turismo desordenado, a mineração do ouro desde tempos pretéritos e a atual atividade mineradora de ferro, bem como a silvicultura de eucalipto marcante na paisagem da região da Serra do Caraça (Machado, 2008). As ameaças incidentes implicam declínio contínuo da EOO, AOO, da qualidade do hábitat e do número de subpopulações. Considerando que a espécie não apresenta registro em Unidades de Conservação e a maioria dos registros foi coletada entre as décadas de 1950 e 1970, sendo o mais recente de 1995 (CNCFlora, 2013), recomendam-se investimentos em expedições de campo para a busca de informações sobre o atual estado das subpopulações, em planejamento de ações de conservação e no controle das ameaças incidentes."
PRIMULACEAE,"Myrsine cipoensis","M.F.Freitas & Kin.-Gouv.",comments,DD,,"Luiz Santos","Luiz Santos","Espécie arbustiva, endêmica da região da Serra do Cipó, no estado de Minas Gerais (Freitas & Kinoshita, 2005; Freitas & Carrijo; Freitas et al., 2009; Freitas, 2013). Conhecida apenas pelo material-tipo, coletado no ano de 1991, na localidade de Córrego da Cachoeirinha, as margens da Rodovia entre os municípios de Santana do Riacho e Conceição do Mato Dentro (Freitas & Kinoshita, 2005; Freitas & Carrijo; Freitas et al., 2009; Freitas, 2013), onde desenvolve-se entre rochas expostas ao sol (CNCFlora, 2013). Investidas a localidade de coleta do espécime-tipo foram realizadas, porém não foi possível reencontrá-lo (Freitas & Kinoshita, 2005; Freitas & Carrijo; Freitas et al., 2009; Freitas, 2013). Sua localidade de ocorrência encontra-se extremamente suscetível a atividade turística realizada na região (Pinto et al., 2008), além do aumento da frequência de incêndios associado a invasão de gramíneas exóticas (Ribeiro et al., 2005). Investimentos em pesquisa e em expedições a campo são necessários a fim de contribuir para o conhecimento do táxon, principalmente em relação a abrangência de sua distribuição geográfica e seu real estado de conservação na natureza."
RHABDODENDRACEAE,"Rhabdodendron gardneranum","(Benth.) Sandwith",comments,DD,,Raquel,"Luiz Santos","Espécie descrita em 1943, restrita ao estado da Bahia e conhecida apenas pelo material-tipo oriundo do nordeste baiano, município de Formosa do Rio Preto (Prance, 1972; Amorim et al., 2013). É caracterizada como árvore pequena de tronco com casca espessa e corticosa, de até 6 m de altura (Prance, 1972; Rodrigues, 2009). No município de Formosa do Rio Preto destaca-se a atividade agrícola, sendo o 5º município produtor de soja do país, além de apresentar também importância na produção de arroz, milho, feijão e algodão (IBGE, 2013). Essas atividades podem representar ameaças a espécie e implicar em declínio contínuo de EOO, AOO, qualidade do hábitat ou do número de subpopulações. Considerando as ameaças incidentes e a existência de único registro em área não protegida, recomenda-se investimentos em controle das ameaças e em expedições de campo para a busca de novos registros e avaliação do seu atual estado de conservação na natureza. A espécie deve ser considerada prioritária para pesquisa, para o desenvolvimento de estudos populacionais, ecológicos, de sua biologia e distribuição geográfica.
"
RUBIACEAE,"Borreria amapaensis","E.L.Cabral & Bacigalupo",comments,DD,,"Rodrigo Amaro","Luiz Santos","Espécie descrita recentemente, conhecida por apenas um registro de coleta, realizado no estado do Amapá, na capital Macapá, em regiões campestres das margens do rio Pedreira (Cabral et al., 2009; Cabral & Salas, 2013). Devido a escassez de informações sobre sua real distribuição geográfica, ecologia e ameaças incidentes à sua área de ocorrência não é possível avaliar o risco de extinção da espécie. Investimentos em pesquisa e expedições à campo são necessárias a fim de ampliar o conhecimento sobre o táxon."
RUBIACEAE,"Borreria burchellii","E.L.Cabral & Bacigalupo",comments,DD,,"Rodrigo Amaro","Luiz Santos","Arbustos endêmicos do domínio Cerrado (lato sensu), onde ocorre nos estados de Goiás e Tocantins, nos municípios de São Domingos (Serra Geral de Goiás) e Porto Nacional, respectivamente (Cabral et al., 2009; Cabral & Salas; CNCFlora, 2013). Conhecida apenas por dois registros de coleta, sendo escassas informações sobre sua real distribuição, ecologia e potenciais ameaças incidentes na sua extensão de ocorrência. Investimentos em pesquisa e esforços à campo são necessários a fim de se compreender seu estado de conservação na natureza."
RUBIACEAE,"Borreria gracillima",DC.,comments,NT,,"Rodrigo Amaro","Luiz Santos","A espécie endêmica do estados de Goiás e (Cabral et al., 2009; Cabral & Salas; CNCFlora, 2013). Apesar de estar sujeita a menos de 10 situações de ameaça, considerando seus municípios e localidades de ocorrência, apresenta EOO de 64.000 km². A espécie está presente em áreas com forte ameaça antrópica, como atividade agropecuária, turismo, além da invasão de espécies exóticas, como o capim gordura e também pelo aumento da ocorrência de incêndios (Ziller, 2001; MMA/ICMBio, 2009; Sano et al., 2010). Caso estas ameaças não sejam controladas e monitoradas, podem acarretar maiores perdas da qualidade do habitat, além de declínio na AOO e EOO, o que resultará na categorização da espécie como ameaçada em futuro próximo."
RUBIACEAE,"Borreria guimaraesensis","E.L.Cabral & Bacigalupo",comments,DD,,"Rodrigo Amaro","Luiz Santos","Ervas endêmicas da região da Chapada dos Guimarães (Parque Nacional da Chapada dos Guimarães), no estado do Mato Grosso, em regiões de Campos Cerrados (Cabral et al., 2009; Cabral & Salas; CNCFlora, 2013). Espécie descrita no ano de 2004, conhecida por apenas um registro de coleta (CNCFlora, 2013). São escassas as informações sobre sua real distribuição geográfica, ecologia e potenciais ameaças incidentes em sua extensão de ocorrência. Estes fatores alertam a necessidade de investimentos em pesquisa e esforços a campo a fim de ampliar o conhecimento sobre o táxon e seu real estado de conservação na natureza."
RUBIACEAE,"Borreria irwiniana",E.L.Cabral,comments,DD,,"Rodrigo Amaro","Luiz Santos","Espécie descrita em 1996, conhecida por apenas por sua ocorrência no estado de Tocantins, no município de Paraíso do Tocantins (Cabral et al., 2009; Cabral & Salas; CNCFlora, 2013). Endêmica do domínio Cerrado, onde ocorre em áreas de Campo Cerrado sobre solos rochosos, Mata de Galeria e Campo Limpo Úmido (Cabral et al., 2009; Cabral & Salas, 2013). Informações são escassas sobre sua real distribuição geográfica, o que não permite a avaliação do risco de extinção da espécie. Investimentos em pesquisa e esforços à campo são necessários a fim de se conhecer novas subpopulações e seu real estado de conservação na natureza."
RUBIACEAE,"Borreria paulista","E.L.Cabral & Bacigalupo",comments,VU,A2c,"Rodrigo Amaro","Luiz Santos","A espécie ocorre nos estados de São Paulo e Paraná, em Campos Cerrados de solo arenoso e Campo Seco (Cabral et al., 2009; Cabral & Salas; CNCFlora, 2013). Apesar de ocorrer em uma EOO maior que 20.000 km², a espécie está sujeita a aproximadamente 10 situações de ameaça considerando suas localidades de ocorrência. Suspeita-se que a espécie sofreu perdas populacionais de aproximadamente 30%, devido a degradação do hábitat no bairro de Jabaquara (SP), que possivelmente causaram sua extinção no local. Com isso, a EOO da espécie pode ter sido reduzida pela metade (de 60.000 km² para 33.000 km²). Ameaças em potencial incidem em sua área de distribuição, tendo em vista que o Cerrado dos estados onde a espécie ocorre encontra-se intensamente impactado pela expansão urbana e infraestrutura, implementação da pecuária, e agricultura, destacando-se a monocultura da cana-de-açúcar em São Paulo (Durigan et al., 2007), além das plantações de Pinus e Eucalyptus ao longo de sua EOO (Zappi com. Pessoal). "
RUBIACEAE,"Borreria rosmarinifolia","E.L.Cabral & Bacigalupo",comments,DD,,"Rodrigo Amaro","Luiz Santos","Endêmica do estado de Minas Gerais, onde ocorre nos município de Diamantina (Cabral et al., 2009; Cabral & Salas; CNCFlora, 2013). Exite um registro incerto no município de Santana do Riacho (Serra do Cipó). Encontrada em áreas de Campos Cerrados sobre solos arenosos-rochosos, e Campos Rupestres de áreas de altitudes superiores a 1.000 m (Cabral et al., 2009; CNCFlora, 2013). Descrita em 1997, é conhecida por apenas dois registros de coleta, sendo escassas as informações sobre sua real distribuição geográfica e ecologia, o que inviabiliza uma coesa avaliação do seu estado de conservação na natureza."
RUBIACEAE,"Borreria tocantinsiana","E.L.Cabral & Bacigalupo",comments,DD,,"Rodrigo Amaro","Luiz Santos","Espécie descrita em 2004, conhecida por apenas um registro de coleta. Endêmica do estado de Tocantins, onde ocorre no município de Conceição do Tocantins (Cabral et al., 2009; Cabral & Salas, 2013). Restrita ao Cerrado, desenvolve-se em Campos Cerrados sobre solo arenoso e úmido com afloramentos calcários (Cabral et al., 2009; Cabral & Salas; CNCFlora 2013). São escassas as informações sobre sua real distribuição geográfica e ecologia, o que inviabiliza uma coesa avaliação do seu estado de conservação na natureza."
RUBIACEAE,"Diodia macrophylla",K.Schum.,comments,DD,,"Rodrigo Amaro","Luiz Santos","Espécie herbácea, endêmica do Cerrado do estado do Tocantins (Zappi com. pess.). Conhecida unicamente pelo material tipo, coletado no município de Natividade. Existem ainda problemas taxonômicos associados a outros registros, que superestimavam a ocorrência da espécie para outros países. Dessa maneira, são necessários maiores estudos, a fim de elucidar o real estado de conservação da espécie."
RUBIACEAE,"Galianthe macedoi",E.L.Cabral,comments,EN,"B2ab(ii,iii)","Rodrigo Amaro","Luiz Santos","Espécie arbustiva restrita ao Cerrado, é encontrada em campos baixos próximos de rios e em Campos Limpos (Cabral et al., 2009; Cabral & Salas, 2013). Foi coletada nos estados de Minas Gerais, no município de Uberlândia e, em Goiás, nos municípios de Caiapônia e Jataí, e também no Distrito Federal (Cabral et al., 2009; Cabral & Salas, 2013; CNCFlora 2013). Apresenta AOO estimada inferior a 500 km², e está sujeita a menos de cinco situações de ameaça em função de suas localidades de ocorrência. Suspeita-se que a espécie sofra com a perda da qualidade do hábitat, além de declínio da EOO e AOO, em consequência de potenciais ameaças a sua área de distribuição, como as atividades agroindustriais, plantações de cana-de-açúcar e soja, a pecuária e o substancial crescimento urbano no Distrito Federal e em Uberlândia (Zappi, com. pessoal; Sano et al., 2010; Carvalho & Romero, 2013)."
RUBIACEAE,"Galianthe matogrossiana",E.L.Cabral,comments,DD,,"Rodrigo Amaro","Luiz Santos","Arbustos endêmicos do Cerrado do estado do Mato Grosso do Sul, coletado apenas em duas localidades, nos municípios de Sidrolândia e Ribas do Rio Pardo (Cabral et al., 2009; Cabral & Salas; CNCFlora, 2013). São necessários maiores estudos sobre a espécie, bem como um aumento do seu esforço amostral para que se seja possível o entendimento do real estado de conservação da espécie na natureza."
RUBIACEAE,"Mitracarpus pusillus",Steyerm.,comments,CR,"B1ab(i,iii)","Rodrigo Amaro","Luiz Santos","Espécie endêmica do estado de Minas Gerais, onde ocorre no município de Joaquim Felício, na região da Serra do Cabral (Cabral et al., 2009; Souza; CNCFlora, 2013). Encontrada em Campos Rupestres sobre afloramentos rochosos e solos arenosos, também em campos úmidos, em altitudes superiores a 1.000 m (Cabral et al. 2009; CNCFlora, 2013). Apresenta EOO menor que 100 km² e está sujeita a apenas uma situação de ameaça, em função de sua ocorrência em uma única localidade. Suspeita-se que a espécie sofra com a perda na qualidade do seu habitat de ocorrência, como em sua EOO, em decorrência das atividades agropecuárias, e silvicultura (monoculturas de eucalipto) (Sano et al.; Universidade Federal de Minas Gerais, 2010; IBGE, 2013). Medidas de controle das ameaças incidentes, e investimentos em estratégias conservacionistas são essenciais para que o táxon não configure em uma categoria de risco mais severa em um futuro próximo, como também perpetue sua viabilidade na natureza."
RUBIACEAE,"Psyllocarpus schwackei",K.Schum.,comments,VU,"B1ab(i,ii,iii)","Rodrigo Amaro","Luiz Santos","Espécie endêmica do estado de Minas Gerais, onde ocorre predominantemente na região da Serra do Cipó, ao longo da estrada Jaboticatubas-Conceição do Mato Dentro, com registros esporádicos em Diamantina e Grão Mogol (Cabral et al., 2009; Cabral & Salas; CNCFlora, 2013). Desenvolve-se em Campos Rupestres sobre solo arenoso entre rochas, também em regiões de brejo, entre 1.100 m e 1.200 metros de altitude aproximadamente (Cabral et al., 2009; CNCFlora, 2013). Apresenta EOO de 13.094 km², e está sujeita a menos de 10 situações de ameaça considerando suas localidades de ocorrência. As principais ameaças encontradas na área de distribuição da espécie são o aumento na frequência de incêndios, o turismo desordenado, a invasão de espécies exóticas e a pecuária (MMA/ICMBio, 2009). Suspeita-se que a espécie sofra com a perda de qualidade do habitat, EOO e AOO em decorrência dessas ameaças."
